Risk & Identity — Quarterly Performance
prepared_by=r.oyelaran; basis=verified-only; generated=2026-08-30; disclosure=small-counts-suppressed-as-zero
,,,,,,(major units per Ccy),(major units per Ccy),(major units per Ccy),(major units per Ccy),count,count,count,
Merchant Code,Merchant (legal),Agreement No.,Tier,KYC,Quarter,Ccy,Active accts (verified only),Gross (net of refunds & fees),Platform fees,Refund value,Net revenue,Settled txns,Refunds,Chargebacks,Tax ID
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY26Q2,GBP,16,85057.455,1696.225,4441.190,84708.179,930,21,0,TX960171520
RI00015,Quarry Commerce Ltd,CTR-00015-1,Tier 1,verified,FY26Q3,GBP,16,88456.821,1388.252,3326.215,87899.657,867,32,5,TX960171520
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY25Q2,JPY,9,997498.152,28132.930,35988.918,992338.679,100,2,0,TX289434702
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY25Q3,JPY,14,1477976.404,33734.352,72061.644,1470849.428,118,1,0,TX289434702
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY25Q4,JPY,TBC,3269377.490,80437.342,132321.168,3262099.826,235,5,0,TX289434702
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY26Q1,JPY,11,1878828.868,42687.366,27678.566,1874813.527,177,7,0,TX289434702
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY26Q2,JPY,9,4801780.331,101622.332,102623.537,4789265.265,287,4,1,TX289434702
RI00016,Cobalt Ventures K.K.,CTR-00016-1,Bespoke,verified,FY26Q3,JPY,9,2537318.552,57660.207,99423.441,2526379.279,181,8,1,TX289434702
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY25Q2,JPY,195,187997161.978,3259836.600,7513525.822,187541977.477,10853,306,72,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY25Q3,JPY,223,157201021.488,4252717.056,4668021.456,157116299.390,12108,367,92,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY25Q4,JPY,219,165495096.913,5045690.555,7124372.932,164555248.214,9919,466,32,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY26Q1,JPY,254,222088897.236,4402017.784,10176707.780,221669995.544,13774,684,n/a,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY26Q2,JPY,260,136458221.061,2394258.451,6254093.288,135790730.826,11064,476,26,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-1,Tier 1,verified,FY26Q3,JPY,283,99567100.576,1253730.542,3656714.082,99244264.961,7079,277,41,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY25Q2,GBP,23,52175.528,944.134,830.838,51918.724,600,25,2,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY25Q3,GBP,25,60254.270,847.861,1240.621,59935.699,747,35,0,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY25Q4,GBP,23,95561.556,2380.794,5122.314,95359.549,948,14,1,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY26Q1,GBP,24,97021.618,2811.928,1314.930,96532.059,908,32,5,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY26Q2,GBP,30,63451.359,943.241,2501.930,63330.276,695,19,1,TX915514073
RI00017,Northgate Systems K.K.,CTR-00017-2,Bespoke,verified,FY26Q3,GBP,32,67481.981,1621.655,1403.084,67445.318,576,20,4,TX915514073
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY25Q2,JPY,11,8043395.230,138850.226,82648.944,8036287.421,604,9,0,TX371512310
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY25Q3,JPY,11,3498169.816,90229.072,186876.112,3481030.068,235,4,0,TX371512310
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY25Q4,JPY,15,4356823.240,94605.305,75141.055,4340120.198,272,12,1,TX371512310
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY26Q1,JPY,12,1996508.136,43696.044,70715.820,1985531.352,200,8,0,TX371512310
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY26Q2,JPY,14,3450910.378,45329.755,159385.267,3443197.008,217,6,0,TX371512310
RI00021,Cinder Group K.K.,CTR-00021-1,Bespoke,verified,FY26Q3,JPY,18,10584563.231,153692.121,480147.648,10544401.348,809,30,5,TX371512310
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY25Q2,BHD,34,20661.951,608.158,764.605,20595.627,579,28,2,TX421922134
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY25Q3,BHD,32,27488.708,386.837,1209.957,27456.132,769,15,0,TX421922134
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY25Q4,BHD,44,21658.196,402.569,304.163,21626.661,544,16,0,TX421922134
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY26Q1,BHD,45,88733.740,1854.415,2132.577,88648.437,2413,44,2,TX421922134
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY26Q2,BHD,51,129178.138,2370.364,2370.364,128658.533,2333,30,5,TX421922134
RI00023,Lantern Logistics Inc.,CTR-00023-2,Tier 3,verified,FY26Q3,BHD,53,80353.818,1451.273,1601.405,80295.433,1601,29,3,TX421922134
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY25Q2,BHD,228,437023.225,13015.160,11492.109,434844.801,10284,471,65,TX489306736
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY25Q3,BHD,219,449905.877,8853.417,17230.843,447573.525,12383,479,26,TX489306736
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY25Q4,BHD,219,533442.067,10036.059,23530.874,531797.741,12550,463,79,TX489306736
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY26Q1,BHD,226,303755.198,4018.915,3769.680,302100.900,5361,86,38,TX489306736
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY26Q2,BHD,219,547166.999,10375.890,28665.595,544974.579,12202,598,58,TX489306736
RI00024,Cobalt Exchange W.L.L.,CTR-00024-1,Tier 3,verified,FY26Q3,BHD,213,146878.591,4289.112,5369.216,146415.242,3703,48,18,TX489306736
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY25Q2,BHD,22,59110.549,1352.926,1033.143,58986.326,1107,21,2,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY25Q3,BHD,20,51615.995,1057.057,1814.433,51416.571,1185,19,2,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY25Q4,BHD,16,34655.060,792.512,1073.726,34452.367,737,33,4,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY26Q1,BHD,-,19675.281,467.723,461.542,19594.717,388,8,2,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY26Q2,BHD,12,23664.263,306.255,335.422,23581.623,412,13,2,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-1,Tier 2,verified,FY26Q3,BHD,18,32955.462,430.905,1646.547,32765.584,868,15,2,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY25Q2,GBP,30,75376.752,1170.669,3089.929,75171.288,621,12,1,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY25Q3,GBP,29,99228.417,1897.670,2571.705,98654.968,1083,16,8,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY25Q4,GBP,36,147593.566,4190.985,2295.797,146736.879,1212,24,7,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY26Q1,GBP,27,54520.926,1452.342,2120.420,54311.208,709,20,4,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY26Q2,GBP,34,75057.515,1278.142,2077.961,74946.168,1005,47,3,TX768199693
RI00025,Harbour Partners W.L.L.,CTR-00025-2,Tier 3,verified,FY26Q3,GBP,36,172730.633,2495.277,4290.441,172240.553,1421,66,8,TX768199693
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY25Q2,BHD,8,9091.662,168.292,412.026,9077.928,273,6,0,TX133657308
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY25Q3,BHD,10,15158.339,198.808,421.284,15100.906,281,6,n/a,TX133657308
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY25Q4,BHD,17,12615.948,316.071,517.819,12567.798,337,6,0,TX133657308
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY26Q1,BHD,15,18706.091,438.408,783.157,18658.464,532,6,1,TX133657308
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY26Q2,BHD,12,27434.937,465.344,1183.719,27389.275,799,35,3,TX133657308
RI00027,Pelagic Trading W.L.L.,CTR-00027-1,Tier 1,verified,FY26Q3,BHD,16,32945.960,958.919,713.131,32813.027,969,24,3,TX133657308
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY25Q2,USD,3,3308.899,60.727,120.406,3300.104,26,0,0,TX135088366
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY25Q3,USD,4,12692.629,378.207,682.148,12643.668,142,5,0,TX135088366
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY25Q4,USD,6,10929.197,319.303,320.460,10885.351,117,4,0,TX135088366
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY26Q1,USD,4,12173.744,164.769,434.275,12116.522,133,5,1,TX135088366
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY26Q2,USD,3,16487.510,406.565,406.565,16415.539,140,3,0,TX135088366
RI00028,Aurelian Ventures Inc.,CTR-00028-1,Bespoke,verified,FY26Q3,USD,6,23540.310,368.323,978.047,23432.551,182,6,0,TX135088366
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY25Q2,BHD,51,72127.106,1697.017,3665.247,71712.538,1645,65,4,TX271812772
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY25Q3,BHD,47,41948.194,1100.466,448.016,41882.514,954,26,2,TX271812772
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY25Q4,BHD,49,55352.446,1154.162,2681.208,55300.953,1168,17,8,TX271812772
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY26Q1,BHD,54,83314.586,1425.732,1667.674,82981.051,1774,21,10,TX271812772
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY26Q2,BHD,50,140532.387,2162.702,1485.055,140073.894,2789,91,18,TX271812772
RI00029,Cobalt Ventures W.L.L.,CTR-00029-1,Tier 1,verified,FY26Q3,BHD,51,44869.556,1113.633,1005.559,44760.542,1347,27,4,TX271812772
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY25Q2,BHD,21,21522.112,467.419,1150.036,21392.068,561,24,1,TX466672665
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY25Q3,BHD,23,48419.617,809.608,1371.273,48258.707,1095,42,1,TX466672665
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY25Q4,BHD,16,8858.474,199.687,450.721,8802.752,247,6,1,TX466672665
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY26Q1,BHD,15,39876.784,1232.015,1968.639,39810.445,866,27,1,TX466672665
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY26Q2,BHD,18,35361.150,757.819,1028.999,35319.916,1066,21,8,TX466672665
RI00031,Ember Markets W.L.L.,CTR-00031-1,Tier 3,verified,FY26Q3,BHD,14,16836.327,342.568,851.012,16773.944,529,16,2,TX466672665
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY25Q2,BHD,27,55677.590,1672.767,731.836,55417.382,962,20,2,TX759108430
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY25Q3,BHD,31,35188.519,815.019,1554.920,35100.257,804,37,1,TX759108430
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY25Q4,BHD,23,40099.903,928.971,629.034,39890.780,1209,21,8,TX759108430
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY26Q1,BHD,24,46129.105,1250.592,1856.193,45974.997,873,24,5,TX759108430
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY26Q2,BHD,22,36390.080,1133.378,1829.933,36192.920,966,38,2,TX759108430
RI00033,Solstice Exchange W.L.L.,CTR-00033-1,Tier 2,verified,FY26Q3,BHD,22,43676.983,1081.797,1275.140,43524.611,960,21,4,TX759108430
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY25Q2,BHD,103,103838.076,1604.271,4439.215,103348.004,1875,55,3,TX239638195
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY25Q3,BHD,108,129444.416,1926.337,4286.778,128896.360,3986,151,28,TX239638195
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY25Q4,BHD,116,108986.915,2588.411,2451.578,108900.255,2888,31,6,TX239638195
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY26Q1,BHD,119,267683.078,3902.967,3270.796,266407.742,4714,198,6,TX239638195
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY26Q2,BHD,128,259199.178,5471.223,8890.737,258301.897,5788,104,34,TX239638195
RI00034,Marrow Markets W.L.L.,CTR-00034-1,Tier 1,verified,FY26Q3,BHD,133,351767.502,7132.143,4985.223,350395.656,7066,217,48,TX239638195
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY25Q2,BHD,86,227523.039,6455.393,2482.843,227326.776,5077,187,34,TX934185143
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY25Q3,BHD,91,271007.769,5174.304,9691.101,269569.827,4948,193,12,TX934185143
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY25Q4,BHD,104,115968.880,1676.599,5633.866,115671.777,2282,61,17,TX934185143
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY26Q1,BHD,96,65835.571,1899.036,2340.509,65415.120,1933,74,11,TX934185143
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY26Q2,BHD,114,136397.831,3939.339,1877.230,136136.157,3200,126,10,TX934185143
RI00035,Basalt Systems W.L.L.,CTR-00035-1,Bespoke,verified,FY26Q3,BHD,103,163419.232,2580.759,7205.342,163114.391,3761,128,16,TX934185143
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY25Q2,GBP,28,55313.631,782.002,1830.465,55234.272,694,19,2,TX714569935
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY25Q3,GBP,31,46985.162,1123.393,2494.743,46796.918,601,6,0,TX714569935
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY25Q4,GBP,38,60803.658,1264.706,3122.650,60636.117,783,7,1,TX714569935
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY26Q1,GBP,36,60635.202,1000.155,2890.771,60573.257,656,29,3,TX714569935
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY26Q2,GBP,39,62199.798,1551.018,2532.004,61839.882,899,35,3,TX714569935
RI00036,Quarry Ventures Ltd,CTR-00036-1,Tier 3,verified,FY26Q3,GBP,45,200362.230,5298.141,4583.312,199287.885,2371,33,13,TX714569935
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY25Q2,USD,TBC,50042.113,842.603,2109.156,49841.266,549,24,4,TX490592233
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY25Q3,USD,37,65108.022,1980.655,1446.083,65029.207,581,18,2,TX490592233
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY25Q4,USD,39,132615.872,3368.929,6766.407,132286.117,1381,20,8,TX490592233
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY26Q1,USD,39,164511.678,5033.931,5243.679,163718.135,1374,26,10,TX490592233
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY26Q2,USD,44,366131.569,9190.471,6025.288,364968.460,2432,40,-,TX490592233
RI00038,Harbour Retail W.L.L.,CTR-00038-2,Tier 1,verified,FY26Q3,USD,45,184443.186,3096.958,6019.712,183384.414,1204,14,n/a,TX490592233
RI00039,Cinder Trading K.K.,CTR-00039-1,Tier 1,verified,FY25Q2,JPY,29,33631873.438,570748.324,1028756.238,33557182.917,1930,42,3,TX178987568
RI00039,Cinder Trading K.K.,CTR-00039-1,Tier 1,verified,FY25Q3,JPY,35,32425729.404,509359.075,1715188.721,32366823.933,1881,87,13,TX178987568
RI00039,Cinder Trading K.K.,CTR-00039-1,Tier 1,verified,FY25Q4,JPY,36,16489709.751,364910.190,773891.659,16393458.078,1447,19,5,TX178987568
RI00039,Cinder Trading K.K.,CTR-00039-1,Tier 1,verified,FY26Q1,JPY,32,20677454.355,314567.921,553725.724,20609154.334,1930,85,5,TX178987568
